mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	crescendo_hairpin	decrescendo_hairpin	crescendo_line	Ottava:8va
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0									Trèsléger(𝅘𝅥=128environ)	110.0			1.0						
1	1	0	0	0.0	0	0	Dynamic	3/4	1	1	0						pp													
1	1	0	0	0.0	0	0	Spanner	3/4	1	1	0																0			
1	1	0	0	0.25	0	0	Chord	3/4	1	1	1/16			1/16	1	0									0		0			
1	1	1/4	1/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16			1/16	1	1									0		0			
1	1	1/2	1/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16			1/16	1	2									0		0			
1	1	3/4	3/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16			1/16	1	3									0		0			
1	1	1	1	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	4									0		0			
1	1	3/2	3/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16			1/16	1	5									0		0			
1	1	7/4	7/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16			1/16	1	6									0		0			
1	1	2	2	0.25	1/2	1/2	Chord	3/4	1	1	1/16			1/16	1	7									0		0			
1	1	9/4	9/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16			1/16	1	8									0		0			
1	1	5/2	5/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16			1/16	1	9									0		0			
1	1	11/4	11/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	10											0			
1	1	0	0	0.0	0	0	Spanner	3/4	2	1	0															0				
1	1	0	0	0.3333333333333333	0	0	Chord	3/4	2	1	1/12			1/8	2/3	11									1	0				
1	1	1/3	1/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12			1/8	2/3	12									1	0				
1	1	2/3	2/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12			1/8	2/3	13									1	0				
1	1	1	1	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12			1/8	2/3	14									1	0				
1	1	4/3	4/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12			1/8	2/3	15									1	0				
1	1	5/3	5/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12			1/8	2/3	16									1	0				
1	1	2	2	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12			1/8	2/3	17									1	0				
1	1	7/3	7/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12			1/8	2/3	18									1	0				
1	1	8/3	8/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12			1/8	2/3	19										0				
2	2	3	3	0.0	0	0	Dynamic	3/4	1	1	0						pp													
2	2	3	3	0.0	0	0	Spanner	3/4	1	1	0																			
2	2	3	3	0.0	0	0	Spanner	3/4	1	1	0																1			
2	2	3	3	0.25	0	0	Chord	3/4	1	1	1/16			1/16	1	20									2		1			
2	2	13/4	13/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16			1/16	1	21									2		1			
2	2	7/2	7/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16			1/16	1	22									2		1			
2	2	15/4	15/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16			1/16	1	23									2		1			
2	2	4	4	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	24									2		1			
2	2	9/2	9/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16			1/16	1	25									2		1			
2	2	19/4	19/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16			1/16	1	26									2		1			
2	2	5	5	0.25	1/2	1/2	Chord	3/4	1	1	1/16			1/16	1	27									2		1			
2	2	21/4	21/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16			1/16	1	28									2		1			
2	2	11/2	11/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16			1/16	1	29									2		1			
2	2	23/4	23/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	30											1			
2	2	3	3	0.3333333333333333	0	0	Chord	3/4	2	1	1/12			1/8	2/3	31									3	0				
2	2	10/3	10/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12			1/8	2/3	32									3	0				
2	2	11/3	11/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12			1/8	2/3	33									3	0				
2	2	4	4	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12			1/8	2/3	34									3	0				
2	2	13/3	13/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12			1/8	2/3	35									3	0				
2	2	14/3	14/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12			1/8	2/3	36									3	0				
2	2	5	5	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12			1/8	2/3	37									3	0				
